formations,experiences,competences,Qualités,langues,permis,metier
"['Formation Licence Énergie et développement durable\n\n| Bac+3, Bac+4 ou équivalents 2019 Cours de physique et de mécanique des fluides le soir au CNAM à Paris - Domaine de formation : Physique Voir plus Voir moins', ""Formation Licence de Mathématiques\n\n| Bac+3, Bac+4 ou équivalents 2017 Cours de mathématiques par correspondance avec l'université de Besançon - Domaine de formation : Mathématiques Voir plus Voir moins"", ""Formation BTS Systèmes Numériques\n\n| Bac+2 ou équivalents 2016 Cours sur les systèmes numériques par correspondance au CNED - Domaine de formation : Informatique Et Systèmes D'information Voir plus Voir moins"", ""Formation BTS Services Informatiques aux Organisations\n\n| Bac+2 ou équivalents 2015 Cours d'informatique, de réseau à l'école IRIS à Paris - Domaine de formation : Réseau Informatique Voir plus Voir moins"", ""Formation Prépa intégrée en école d'ingénieur 2014 Cours de mathématiques, de physique et d'ingénierie à l'ESTACA à Laval puis à Levallois-Perret - Domaine de formation : Ingénierie Formation Voir plus Voir moins"", ""Formation Bac S\n\n| Bac ou équivalent 2013 Diplôme ou qualification obtenu(e). Bac S à l'établissement Guynemer à Compiègne - Domaine de formation : Culture Générale Voir plus Voir moins""]","[""Expérience Employé de libre-service\n\n| Monoprix (Meudon) de févr. 2018 à mars 2018 (2 mois) Au rayon textile je m’occupais de la mise en place des anti-vols, du rangement des vêtements tombés au sol, du rangement des cabines d'essayage et de la disposition du merchandising des nouvelles collections. Voir plus Voir moins"", 'Expérience Stage de 3ème\n\n| Pharmacie Bénad (Paris) de févr. 2010 à mars 2010 (2 mois) Je produisais des préparations médicinales et aidais aux rangements des médicaments. Voir plus Voir moins']",[],[],['Anglais'],[],Stage en informatique
['Formation BAC L\n\n| Bac ou équivalent 2018 Diplôme ou qualification obtenu(e). - Domaine de formation : Littérature Voir plus Voir moins'],"[""Expérience Teleconseiller\n\n| CPAM de Vaucluse (Avignon) de juin 2020 à août 2020 (3 mois) Plateforme d'appel, contact humain, réponses d'après certaines conduites, conseil... Voir plus Voir moins"", ""Expérience Manutentionnaire\n\n| De multiples entreprise (Adequat - IdLogistic - Raiponce... (Cavaillon) de janv. 2018 à janv. 2020 (2 ans) De nombreux travaux de manutention qui m'ont permis d'acquérir une connaissance aiguë des enjeux de la profession, des pratiques, et des savoirs faires. Voir plus Voir moins""]","['Déchiffrer une œuvre artistique : scénario, partition musicale, chorégraphie', ""Défricher le texte d'une pièce de théâtre"", ""Interpréter un rôle dans les domaines de l'art du spectacle ou de l'audiovisuel"", ""Proposer et améliorer des axes d'interprétation / jeu"", 'Répéter un rôle', 'Gestes et postures de manutention', 'Charger, décharger, manutentionner des produits', 'Organiser le traitement des commandes', 'Règles et consignes de sécurité', 'Techniques de palettisation', 'Contact humain']","[""Faire preuve d'autonomie"", 'Faire preuve de curiosité', 'Faire preuve de rigueur et de précision', 'Gérer son stress', ""S'adapter aux changements"", 'Travailler en équipe']","['Français', 'Anglais']",['B - Véhicule léger'],Stage en informatique
['Formation Diplôme des études approfondies en mathématiques : spécialité analyse numérique et applications\n\n| Bac+5 et plus ou équivalents Cette Formation contient une pièce jointe 1995 Diplôme ou qualification obtenu(e). - Domaine de formation : Mathématiques Compétences Techniques pédagogiques (Avancé) Pièces jointes .pdf Voir plus Voir moins'],"[""Expérience Sous chef de service tarification\n\n| Mornay  (PARIS) Cette Expérience contient une pièce jointe de nov. 2001 à sept. 2002 (11 mois) Compétences Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison (Débutant) Organiser le travail d'une équipe (Intermédiaire) Superviser des opérations, des actions (Intermédiaire) Techniques pédagogiques (Avancé) Pièces jointes .pdf Voir plus Voir moins"", 'Expérience Sous-chef de Service  Tarification en Assurances collectives\n\n| Mornay (Paris) de nov. 2001 à sept. 2002 (11 mois)', ""Expérience Surveillant d'internat en lycée privé catholique\n\n| Collège ile de france (Villebon sur yvette) Cette Expérience contient une pièce jointe de nov. 1993 à juin 1994 (8 mois) En parallèle aux études supérieures Compétences Règlement intérieur, consignes de sécurité, règles de vie collective (Intermédiaire) Techniques pédagogiques (Avancé) Pièces jointes .pdf Voir plus Voir moins"", 'Expérience Vendeur \n\n| Darty de mai 1992 à nov. 1992 (7 mois)', 'Expérience Professeur de mathématiques et physique\n\n| Education nationale (Paris) Cette Expérience contient une pièce jointe de sept. 1991 à sept. 2024 (33 ans) En parallèle aux études supérieures Compétences Enseigner, transmettre des connaissances, développer des compétences Techniques pédagogiques (Avancé) Pièces jointes .pdf Voir plus Voir moins']","['Assister les collaborateurs au niveau commercial et technique', 'Évaluer régulièrement les besoins de la personne', 'Traiter les demandes de support technique', 'Enseigner, transmettre des connaissances, développer des compétences', 'Logique mathématique', ""Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"", ""Organiser le travail d'une équipe"", 'Règlement intérieur, consignes de sécurité, règles de vie collective', 'Utiliser les outils numériques', 'Superviser des opérations, des actions', 'Coordonner des interventions de sécurité', ""Réaliser le suivi commercial d'une structure"", 'Techniques pédagogiques']",[],"['Français', 'Anglais']",['B - Véhicule léger'],Stage en informatique
"['Formation diplôme belge équivalent bac pro en charpente\n\n| Bac ou équivalent 2008 Diplôme ou qualification obtenu(e). - Domaine de formation : Charpente Voir plus Voir moins', 'Formation équivalent cap menuiserie(belgique)\n\n| CAP, BEP et équivalents 2007 Diplôme ou qualification obtenu(e). - Domaine de formation : Menuiserie Voir plus Voir moins']","['Expérience SAISONIER\n\n| Les Vergers du Pâtis Clos (Mauges Sur Loire, 49290, France) de juin 2022 à sept. 2022 (4 mois)', 'Expérience SAISONIER\n\n| Les Vergers du Pâtis Clos (Mauges Sur Loire, 49290, France) de juin 2021 à oct. 2021 (5 mois)', ""Expérience TRAVAIL DE MENUISERIE EN ATELIER\n\n| Groupe Morgan Service ( AGENCE D'INTERIM) (Mauges Sur Loire, 49, France) de janv. 2018 à déc. 2020 (2 ans et 11 mois) Compétences Assembler des sous-ensembles par procédé mécanique (Intermédiaire) Réaliser des opérations de masquage de défauts du bois (Avancé) Voir plus Voir moins"", 'Expérience SAISONNIER\n\n| J.GODIN ARBORICULTEUR (Mauges Sur Loire, 49290, France) de sept. 2016 à oct. 2017 (1 an et 2 mois)', ""Expérience MONTEUR LIVREUR \n\n| JUNIORAMA (Lantin, 4450, BELGIQUE) de oct. 2009 à avr. 2016 (6 ans et 7 mois) Compétences Charger, décharger, manutentionner des produits Organiser des itinéraires de livraison optimisés Vérifier l'exactitude et la conformité de documents de transport de marchandises (Intermédiaire) Livrer une commande (Avancé) Voir plus Voir moins""]","['Assembler des sous-ensembles par procédé mécanique', 'Démarrer et/ou arrêter une machine, une ligne', 'Fabriquer, façonner des produits', ""Façonner des éléments en bois sur machine traditionnelle (toupie plate, volante, chantourneuse, ...) en guidant manuellement l'outil ou la pièce"", 'Identifier les opérations de fabrication à partir du dossier de fabrication', 'Monter et régler une installation, une machine', 'Réaliser des opérations de masquage de défauts du bois', 'Réaliser des opérations de sciage, tronçonnage', 'Réaliser des opérations sur des ouvrages de bois', ""Réaliser la finition d'un produit, d'un article, d'un ouvrage"", 'Régler des équipements (autoclaves, étuves, ...) de traitement du bois (séchage, préservation, ...) et surveiller leur fonctionnement', 'Déploiement de solutions informatiques', 'Intégration de systèmes', 'Lecture de plans et de schémas', 'Normes qualité', 'Procédures relatives aux licences et garanties', 'Règles de sécurité', 'Règles de sécurité Informatique et Télécoms', 'Électricité', 'Informatique', 'Interprétation de données de tests électroniques', 'Logiciel de traitement de texte', ""Système d'exploitation Windows"", 'Utilisation de logiciels de tableur', 'Comprendre, interpréter des données et documents techniques', ""Configurer le poste de travail aux besoins de l'utilisateur"", ""Intégrer des composants d'équipements informatiques ou bureautiques"", ""Réaliser la mise en production de solutions logicielles dans un environnement d'exploitation"", 'Réaliser une configuration standard sur un poste de travail', 'Réglage manuel de machine', 'Techniques de mortaisage', 'Techniques de perçage', 'Techniques de ponçage', 'Techniques de rabotage', 'Effectuer la maintenance de premier niveau des outillages et des équipements', 'Entretenir un équipement, une machine, une installation', 'Réaliser des corrections ou réparations sur un ouvrage', 'Réaliser un diagnostic technique', 'Caractéristiques et propriétés des bois et dérivés du bois', 'Ouvrages en bois', 'Livrer une commande', 'Organiser des itinéraires de livraison optimisés', ""Rédiger un rapport, un compte rendu d'activité"", 'Charger, décharger, manutentionner des produits', 'Vérifier les éléments de sécurité sur les équipements de production (machine-outil, ligne de montage, ...)', ""Vérifier l'exactitude et la conformité de documents de transport de marchandises"", 'Apporter une assistance technique aux équipes']","['Avoir le sens du service', ""Être à l'écoute, faire preuve d'empathie"", 'Faire preuve de leadership', 'Faire preuve de persévérance', 'Faire preuve de rigueur et de précision', 'Organiser son travail selon les priorités et les objectifs', ""S'adapter aux changements"", 'Travailler en équipe']",[],[],Stage en informatique
"['Formation Titre professionnel technicien réseaux IP 2025', 'Formation Découverte des métiers de la maintenance informatique et du réseau 2024']","[""Expérience technicien de service pour systèmes d'alarme d'affichage de magasin\n\n| Vekom Services (ile de france) Cette Expérience contient une pièce jointe de déc. 2020 à aujourd'hui (4 ans et 4 mois) Remplacement des éléments endommagés, vérification du bon fonctionnement du système. installation de systèmes Compétences Français (Intermédiaire) Pièces jointes .pdf .pdf .pdf .pdf .pdf Voir plus Voir moins"", ""Expérience Ascensoriste\n\n| Smart Lift (ile de france) de oct. 2016 à févr. 2024 (7 ans et 5 mois) installation d'ascenseur Kone Compétences Changer ou réparer une pièce ou un ensemble défectueux Contrôler le fonctionnement d'un dispositif de sécurité Installer des équipements d'ascenseur Règles de sécurité Français (Intermédiaire) Voir plus Voir moins"", ""Expérience Vendeur d'électronique/électroménager\n\n| Euro RTV/AGD (Rzeszow, Pologne) de juin 2016 à sept. 2016 (4 mois) Vendeur dans un magasin d'électronique et d'électroménager. (équivalent à la FNAC française, Darty etc.) Compétences Polonais (Courant) Voir plus Voir moins"", ""Expérience Service Technique avancé\n\n| Orange (Rzeszow, Pologne) de oct. 2013 à mai 2016 (2 ans et 8 mois) Réparation de problèmes Internet, TV et téléphone qui n'ont pas été résolus en un seul contact. Superviseur du groupe répondant aux appels des clients (1 contact).\nAssistance par chat en ligne pour les problèmes techniques. Compétences Polonais (Courant) Voir plus Voir moins""]","['ADSL', 'Déploiement de réseaux sans fil', 'Électricité', 'Installation de téléphonie numérique', 'Interprétation de données de tests électroniques', ""Logiciels de gestion d'appels téléphoniques"", 'Logiciels de télétraitement', 'Mise à jour des connaissances en mécanique', 'Réseaux informatiques et télécoms', 'Réseaux Local Area Network (LAN)', 'Support client à distance', 'Traitement du son', 'Animer, coordonner une équipe', 'Intégration de systèmes de communication', 'Matériel de levage', ""Utilisation d'appareils de mesure électrique"", 'Branchement et mise en service de matériel informatique, audiovisuel', 'Lecture de plans et de schémas', 'Protocoles de communication (TCP/IP)', 'Règles de sécurité', 'Changer ou réparer une pièce ou un ensemble défectueux', ""Constituer des preuves de conformité d'une installation"", 'Moderniser une installation ou un équipement', 'Assemblage de composants électriques', 'Techniques de soudure', 'Techniques de vente et de promotion', ""Installer des équipements d'ascenseur"", ""Contrôler le fonctionnement d'un dispositif de sécurité""]",[],"['Polonais- langue maternelle', 'Français', 'Anglais']","['A - Moto', 'B - Véhicule léger']",Stage en informatique
"[""Formation Titre professionnel technicien d'assistance en informatique\n\n| Bac ou équivalent 2025 🎯 Compétences en apprentissage et Objectifs professionnels.\n\nDiagnostiquer et aider les utilisateurs à résoudre leurs problèmes techniques,\nInstaller et configurer des postes de travail,\nEffectuer des opérations de maintenance informatique,\nDépanner à distance ou sur site pour rétablir le bon fonctionnement des équipements, - Domaine de formation : Système Exploitation Informatique Compétences Cisco Logiciel GLPI Système d'exploitation informatique VMWare (virtualisation d'architecture) VMWare ESXi Voir plus Voir moins"", ""Formation S'engager vers l'emploi 2023/2027 Cette Formation contient une pièce jointe 2024 Pièces jointes .pdf Voir plus Voir moins""]","['Expérience Dynamique Vers l’Emploi.\n\n| AFPA. (3 AVENUE PIERRE BEREGOVOY –  60000 BEAUVAIS.) de juin 2023 à juil. 2023 (2 mois)', ""Expérience Equipier Libre Services E.Leclerc.\n\n| E.Leclerc. (La Croix Saint Simeon, 1 Chem. des Hayettes, 95520 Osny.) de févr. 2023 à mars 2023 (2 mois) J'ai travaillé à Leclerc de Osny en tant qu’équipier libre service au rayons Épicerie au cours duquel j’ai dû faire preuve d’autonomie mais également de réactivité avec la clientèle pour répondre à leurs attentes et besoins. Voir plus Voir moins"", ""Expérience Stage de Découverte de Métier.\n\n| Entreprise Snetor. (11 Av. Dubonnet, 92400 Courbevoie.) Cette Expérience contient une pièce jointe oct. 2022 Au cours du Mois d'Octobre j'ai eu l'opportunité par le biais de convention de stage, d'effectuer un Stage au sein de l'entreprise Snetor à Courbevoie ( 92 ), au cours duquel j'ai pu valider énormément de compétences tel que l'inventaire tournant, l'identification de prises réseaux, la mise à jours des matériels avec documents de facturations, la création d'un QR code en langages Powershell... Pièces jointes .pdf Voir plus Voir moins"", ""Expérience Contrat d'Engagement pour Jeunes.\n\n| Cité des métiers / Maison de l'Emploi et de la Formation du Grand Beauvaisis. (13 Rue Jean Monnet, 60000 Beauvais.) de juil. 2022 à janv. 2023 (7 mois) Je me suis inscrit sur se site dans le but de me trouver une formation soit dans l'informatique ou bien dans la mécanique. Voir plus Voir moins"", ""Expérience Equipier Polyvalent Mcdonald's.\n\n| Beauvais Tille. (2 Rue Antonio de Hojas 60000 BEAUVAIS.) de juin 2022 à juil. 2022 (2 mois) J'ai travaillé au Mcdonald's de Tillé en tant qu'équipier polyvalent, je m'occupais de la plonge, de la préparation des menus, du services, du nettoyages que ce soit en cuisine mais également dans le lobby, je me chargeais aussi de la caisse et de l'entretient de l'espace poubelle. Voir plus Voir moins"", 'Expérience Lycéen en Terminale Sciences et Technologies Sanitaires et Sociales.\n\n| Lycée François Truffaut. (4 Rue de Pontoise, 60000 Beauvais.) de sept. 2021 à juil. 2022 (11 mois) Passage en Terminales Sciences et Technologies Sanitaires et Sociales.\nObtention de mon Baccalauréat. Voir plus Voir moins', 'Expérience Lycéen en première Sciences et Technologies Sanitaire et Sociales.\n\n| Lycée François Truffaut. (4 Rue de Pontoise, 60000 Beauvais.) de nov. 2020 à juil. 2021 (9 mois) Passage par un stage passerelle en Première Sciences et Technologies de la Santés et du Sociales. Voir plus Voir moins', 'Expérience Lycéen en Première Sciences et Technologies de Laboratoire.\n\n| Lycée Paul Langevin. (3 Av. Montaigne, 60000 Beauvais.) de sept. 2020 à nov. 2020 (3 mois) Passage en première Sciences et Technologie de Laboratoire. Voir plus Voir moins', 'Expérience Lycéen.\n\n| Lycée Camille Pissaro. (1 Rue Henri Matisse, 95300 Pontoise.) de sept. 2019 à juil. 2020 (11 mois) Passage en Seconde Générale et Technologique. Voir plus Voir moins', ""Expérience Stage de Découverte.\n\n| Entreprise Cars Lacroix. (55 Chau. Jules César, 95250 Beauchamp.) de févr. 2019 à mars 2019 (2 mois) Durant ma période de stage j'ai pu acquérir des compétences dans le classement, dans l'archivage, dans l'accompagnement des chauffeurs, mais également dans le contrôle des titres de transport. \n\n  Ce stage m'a permis d'avoir un regard intérieur sur le travail que représente un conducteur de bus, un/une directeur/directrice des ressources humaines mais également les hôtes et hôtesse d'accueil. Voir plus Voir moins"", 'Expérience Brevet des collèges.\n\n| Collège Simone Veil. (3 Rue Pierre de Coubertin, 95300 Pontoise.) de sept. 2018 à juil. 2019 (11 mois) Obtention de mon Brevet des Collège. Voir plus Voir moins', ""Expérience Apprentissage des différents gestes de secourismes.\n\n| Collège Simone Veil. (3 Rue Pierre de Coubertin, 95300 Pontoise.) Cette Expérience contient une pièce jointe de nov. 2017 à déc. 2017 (2 mois) Au cours de ma formation de Prévention et secours civiques de niveau 1, ma classe et moi avons appris dans un premier temps par le biais d'un praticien du secourisme et divers vidéos autours des différents gestes de secourismes, comment agir face à tout types de situations qui exiges les gestes de premiers secours. Pièces jointes .pdf Voir plus Voir moins""]","[""Système d'exploitation informatique VMWare (virtualisation d'architecture)"", 'Utilisation de logiciels de gestion de tournées', 'Cisco', 'Logiciel GLPI', 'VMWare ESXi']","['Faire preuve de rigueur et de précision', 'Gérer son stress', 'Organiser son travail selon les priorités et les objectifs', 'Prendre des initiatives et être force de proposition', ""S'adapter aux changements""]",[],['B - Véhicule léger'],Stage en informatique
"[""Formation Technicien informatique\n\n| Bac+2 ou équivalents 2021 C'est une formation professionnalisante sur des càs concrets d’entreprise pour acquérir les compétences techniques suivantes :\n- Assemblage de PC \n- Installation/déploiement OS \n- Gestion des tickets et du parc informatique avec GLPI \n- Installation, configuration et gestion des principaux rôles d’un Serveur Windows (Active Directory…) - Domaine de formation : Informatique Et Systèmes D'information Voir plus Voir moins"", 'Formation TITRE PROFESSIONNEL DE  VENDEUR CONSEIL EN MAGASIN\n\n| Bac ou équivalent 2016 Diplôme ou qualification obtenu(e). IFPA Chenôve - Domaine de formation : Commerce Compétences Encaisser la clientèle (Débutant) Accueillir et conseiller la clientèle (Avancé) Entretenir, nettoyer un espace, un lieu, un local (Avancé) Gérer la livraison (Avancé) Gestes et postures de manutention (Avancé) Préparer et Mettre en rayon les produits (Avancé) Présenter et valoriser un produit ou un service (Avancé) Réaliser des essayages sur des mannequins (Avancé) Voir plus Voir moins', 'Formation Licence 2ème année \n\n| Bac+2 ou équivalents 2012 Université Paris-Sorbonne - Domaine de formation : Droit Voir plus Voir moins', 'Formation BACCALAURÉAT TECHNOLOGIQUE\n\n| Bac ou équivalent 2010 Diplôme ou qualification obtenu(e). Sciences et Technologies de la Gestion spécialité Communication  et Gestion des Ressources Humaines - Domaine de formation : Ressources Humaines Compétences Anglais (Débutant) Voir plus Voir moins']","['Expérience VENDEUR\n\n| STEVANO QUETIGNY de juil. 2017 à sept. 2017 (3 mois) Compétences Encaisser la clientèle (Débutant) Accueillir et conseiller la clientèle (Avancé) Entretenir, nettoyer un espace, un lieu, un local (Avancé) Gérer la livraison (Avancé) Gestes et postures de manutention (Avancé) Préparer et Mettre en rayon les produits (Avancé) Présenter et valoriser un produit ou un service (Avancé) Produits textiles et habillement (Avancé) Réaliser des essayages sur des mannequins (Avancé) Voir plus Voir moins', 'Expérience VENDEUR\n\n| STEVANO QUETIGNY de juil. 2016 à sept. 2016 (3 mois) Compétences Encaisser la clientèle (Débutant) Accueillir et conseiller la clientèle (Avancé) Entretenir, nettoyer un espace, un lieu, un local (Avancé) Gérer la livraison (Avancé) Gestes et postures de manutention (Avancé) Préparer et Mettre en rayon les produits (Avancé) Présenter et valoriser un produit ou un service (Avancé) Produits textiles et habillement (Avancé) Réaliser des essayages sur des mannequins (Avancé) Voir plus Voir moins', 'Expérience VENDEUR\n\n| JENNYFER de août 2015 à oct. 2015 (3 mois)']","['Assurer le suivi des stocks en temps réel', 'Gérer les stocks', 'Ranger des produits ou marchandises selon leurs dates de validité et les conditions de conservation', ""Réaliser l'étiquetage de produits"", ""Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"", 'Organiser, aménager un espace de vente', 'Présenter et valoriser un produit ou un service', 'Vendre ou louer des produits ou des services', 'Analyse des besoins des clients', 'Argumentation commerciale', 'Gestes et postures de manutention', ""Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives"", 'Entretenir, nettoyer un espace, un lieu, un local', 'Réaliser la maintenance de premier niveau', 'Techniques de mise en rayon', 'Techniques de vente et de promotion', 'Réaliser des essayages sur des mannequins', ""Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logistiques et physiques"", 'Organiser le traitement des commandes', 'Produits textiles et habillement', ""Contrôler le balisage et l'étiquetage des produits en rayon"", 'Apporter une assistance technique aux équipes', 'Accueillir et conseiller la clientèle', 'Encaisser la clientèle', 'Gérer la livraison', 'Préparer et Mettre en rayon les produits']","[""Faire preuve d'autonomie"", 'Faire preuve de réactivité', 'Organiser son travail selon les priorités et les objectifs', ""S'adapter aux changements"", 'Travailler en équipe']","['Français', 'Anglais']",['D - Transport de personnes'],Stage en informatique
"['Formation Master Commerce éléctronique 2023', 'Formation Licence \n\n| Bac+3, Bac+4 ou équivalents 2018 - Domaine de formation : Commerce Voir plus Voir moins', 'Formation BAC STMG\n\n| Bac ou équivalent 2017 Diplôme ou qualification obtenu(e). - Domaine de formation : Ressources Humaines Voir plus Voir moins']",['Expérience SERVICE CIVIQUE\n\n| COMPAGNONS BATISSEUR de déc. 2017 à mai 2018 (6 mois)'],"['Logiciel de traitement de texte', 'Utilisation de logiciels de tableur']",[],"['Français', 'Anglais', 'Espagnol']",[],Stage en informatique
"[""Formation Bac pro Micro informatique Reseaux installation maintenance\n\n| Bac ou équivalent 2003 Diplôme ou qualification obtenu(e). - Domaine de formation : Informatique Et Systèmes D'information Voir plus Voir moins""]",[],"[""Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives"", 'Réaliser la maintenance de premier niveau', ""Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logistiques et physiques"", ""Contrôler le fonctionnement d'un dispositif de sécurité""]",[],['Anglais'],"['A - Moto', 'B - Véhicule léger']",Stage en informatique
"['Formation Métiers du numérique 2025', ""Formation Titre professionnel technicien d'assistance en informatique 2025"", 'Formation Chef de projet Scrum Agile 2024', ""Formation Formalab Formation D'introduction Au Metier Du Numerique Formalab Aulnay-sous-bois 2024"", 'Formation Accompagnant éducatif de la petite enfance\n\n| CAP, BEP et équivalents 2022 Diplôme ou qualification obtenu(e). - Domaine de formation : Petite Enfance Voir plus Voir moins', ""Formation Universite De Sevre Ville D'avray 92 Baccalaureat Sti2d\n\n| Bac ou équivalent 2018"", 'Formation 1 Ere Annee En Dut Genie Thermique Et Energie\n\n| Bac+2 ou équivalents 2017', 'Formation STI2D\n\n| Bac ou équivalent 2017 - Domaine de formation : Technologie Internet Intranet Voir plus Voir moins']","['Expérience CAP AEPE en alternance de janv. 2021 à déc. 2022 (1 an et 11 mois) Kiwi Institut Paris16 Voir plus Voir moins', ""Expérience Auxiliaire de crèche\n\n| (Paris) de janv. 2020 à déc. 2023 (3 ans et 11 mois) Mila Intérim – Inte grer une e quipe rapidement Participer a l'e veille de l'enfants Polyvalente dans diffe rent structures Voir plus Voir moins"", 'Expérience Hôtesse de de caisse\n\n| (Paris) de janv. 2018 à déc. 2021 (3 ans et 11 mois) 93 Accueillir, Orienter et Renseigner la cliente le Rapidite et efficacite au poste de travail Voir plus Voir moins']","['Bureautique et outils collaboratifs', 'Comédie', 'Littérature', 'Microsoft Active Directory', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Word', 'Pratique des sports acrobatiques', 'Pratique du badminton', 'Psychologie', 'Ruby', 'Surveillance et gestion des incidents', ""Configurer le poste de travail aux besoins de l'utilisateur"", ""Intégrer des composants d'équipements informatiques ou bureautiques"", 'Mettre en place des solutions de virtualisation', 'Entretenir un logement', 'Essuyer et ranger la vaisselle, la verrerie, les ustensiles de cuisine', ""Réaliser un diagnostic de pannes d'appareils et instruments de laboratoire"", ""Accompagner l'enfant dans l'apprentissage des gestes de la vie quotidienne et des règles de vie en collectivité"", ""Procéder à la toilette et aux soins de l'enfant"", ""Organiser et animer des activités ludiques et d'éveil"", 'Installer un équipement chez un client', 'Digitaliser les points et lignes du tracé du patron de base', 'Adapter les composants aux caractéristiques du support', 'Installation de logiciels', '(GLPI)', '(Windows server 2016-2019)', 'baby-sitting', 'Back up', 'Bambara (Langue maternelle)', 'Cinéma Action', 'Contribuer a la se curite d’un e quipement nume rique et de', 'Éspagnole (Interme diaire)', 'hôtesse de caisse', 'Intervention sur un réseau sécurise', 'Routeur', 'switch', 'Windows 10 et 11 Pro']","[""Faire preuve d'autonomie"", 'Faire preuve de curiosité', 'Gérer son stress', ""S'adapter aux changements"", 'Travailler en équipe']","['Afrikaans', 'Français', 'Anglais', 'Arabe', 'Coréen', 'Espagnol']",[],Stage en informatique
